scope,start_n,length,total_windows,alphabet_1_2_windows,critical_sturmian_windows,sturmian_complexity,max_critical_alphabet_run,max_critical_grammar_run,first_break_type
TIER_B_TOP100_CRITICAL_LIKE,627367,16,39,0,0,17,13,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,627367,32,23,0,0,33,13,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,627367,64,0,0,0,65,13,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,627199,8,93,20,6,9,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,627199,16,85,0,0,17,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,627199,32,69,0,0,33,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,627199,64,37,0,0,65,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,563089,8,47,8,5,9,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,563089,16,39,0,0,17,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,563089,32,23,0,0,33,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,563089,64,0,0,0,65,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,557659,8,49,15,5,9,15,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,557659,16,41,0,0,17,15,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,557659,32,25,0,0,33,15,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,557659,64,0,0,0,65,15,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,500523,8,49,8,5,9,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,500523,16,41,0,0,17,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,500523,32,25,0,0,33,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,500523,64,0,0,0,65,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,490297,8,56,21,5,9,16,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,490297,16,48,2,0,17,16,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,490297,32,32,0,0,33,16,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,490297,64,0,0,0,65,16,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,484001,8,56,16,5,9,20,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,484001,16,48,5,0,17,20,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,484001,32,32,0,0,33,20,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,484001,64,0,0,0,65,20,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,435819,8,58,23,5,9,18,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,435819,16,50,4,0,17,18,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,435819,32,34,0,0,33,18,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,435819,64,2,0,0,65,18,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,422317,8,46,8,5,9,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,422317,16,38,0,0,17,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,422317,32,22,0,0,33,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,422317,64,0,0,0,65,14,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,403323,8,53,8,5,9,12,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,403323,16,45,0,0,17,12,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,403323,32,29,0,0,33,12,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,403323,64,0,0,0,65,12,12,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,158369,8,45,8,5,9,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,158369,16,37,0,0,17,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,158369,32,21,0,0,33,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,158369,64,0,0,0,65,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,80697,8,93,19,5,9,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,80697,16,85,0,0,17,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,80697,32,69,0,0,33,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,80697,64,37,0,0,65,14,12,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,985865,8,68,12,4,9,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,985865,16,60,0,0,17,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,985865,32,44,0,0,33,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,985865,64,12,0,0,65,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,982975,8,97,26,4,9,21,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,982975,16,89,7,0,17,21,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,982975,32,73,0,0,33,21,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,982975,64,41,0,0,65,21,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,977333,8,32,10,5,9,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,977333,16,24,2,0,17,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,977333,32,8,0,0,33,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,977333,64,0,0,0,65,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,977233,8,80,19,4,9,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,977233,16,72,0,0,17,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,977233,32,56,0,0,33,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,977233,64,24,0,0,65,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,967393,8,68,23,4,9,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,967393,16,60,1,0,17,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,967393,32,44,0,0,33,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,967393,64,12,0,0,65,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,966015,8,80,18,4,9,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,966015,16,72,0,0,17,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,966015,32,56,0,0,33,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,966015,64,24,0,0,65,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,944199,8,63,14,4,9,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,944199,16,55,0,0,17,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,944199,32,39,0,0,33,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,944199,64,7,0,0,65,14,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,940775,8,75,12,4,9,11,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,940775,16,67,0,0,17,11,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,940775,32,51,0,0,33,11,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,940775,64,19,0,0,65,11,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,940153,8,104,39,4,9,35,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,940153,16,96,20,0,17,35,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,940153,32,80,4,0,33,35,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,940153,64,48,0,0,65,35,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,927611,8,75,16,4,9,13,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,927611,16,67,0,0,17,13,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,927611,32,51,0,0,33,13,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,927611,64,19,0,0,65,13,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,915211,8,39,10,5,9,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,915211,16,31,2,0,17,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,915211,32,15,0,0,33,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,915211,64,0,0,0,65,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,910209,8,27,5,4,9,12,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,910209,16,19,0,0,17,12,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,910209,32,3,0,0,33,12,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,910209,64,0,0,0,65,12,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,904615,8,87,26,4,9,22,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,904615,16,79,7,0,17,22,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,904615,32,63,0,0,33,22,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,904615,64,31,0,0,65,22,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,902923,8,75,18,4,9,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,902923,16,67,0,0,17,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,902923,32,51,0,0,33,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,902923,64,19,0,0,65,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,897043,8,75,20,4,9,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,897043,16,67,1,0,17,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,897043,32,51,0,0,33,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,897043,64,19,0,0,65,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,892011,8,51,8,4,9,13,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,892011,16,43,0,0,17,13,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,892011,32,27,0,0,33,13,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,892011,64,0,0,0,65,13,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,873755,8,99,28,4,9,21,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,873755,16,91,7,0,17,21,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,873755,32,75,0,0,33,21,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,873755,64,43,0,0,65,21,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,871639,8,58,20,4,9,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,871639,16,50,1,0,17,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,871639,32,34,0,0,33,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,871639,64,2,0,0,65,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,868743,8,34,9,5,9,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,868743,16,26,1,0,17,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,868743,32,10,0,0,33,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,868743,64,0,0,0,65,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,868741,8,34,8,5,9,15,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,868741,16,26,0,0,17,15,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,868741,32,10,0,0,33,15,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,868741,64,0,0,0,65,15,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,868739,8,34,10,5,9,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,868739,16,26,2,0,17,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,868739,32,10,0,0,33,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,868739,64,0,0,0,65,17,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,868651,8,82,19,4,9,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,868651,16,74,0,0,17,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,868651,32,58,0,0,33,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,868651,64,26,0,0,65,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,860771,8,94,18,4,9,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,860771,16,86,0,0,17,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,860771,32,70,0,0,33,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,860771,64,38,0,0,65,14,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,858679,8,82,24,4,9,20,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,858679,16,74,5,0,17,20,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,858679,32,58,0,0,33,20,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,858679,64,26,0,0,65,20,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,851493,8,70,19,4,9,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,851493,16,62,1,0,17,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,851493,32,46,0,0,33,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,851493,64,14,0,0,65,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,846955,8,29,6,5,9,11,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,846955,16,21,0,0,17,11,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,846955,32,5,0,0,33,11,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,846955,64,0,0,0,65,11,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,835691,8,106,41,4,9,37,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,835691,16,98,22,0,17,37,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,835691,32,82,6,0,33,37,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,835691,64,50,0,0,65,37,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,816239,8,65,20,4,9,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,816239,16,57,1,0,17,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,816239,32,41,0,0,33,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,816239,64,9,0,0,65,16,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,810599,8,72,11,4,9,12,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,810599,16,64,0,0,17,12,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,810599,32,48,0,0,33,12,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,810599,64,16,0,0,65,12,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,805487,8,77,27,4,9,24,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,805487,16,69,9,0,17,24,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,805487,32,53,0,0,33,24,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,805487,64,21,0,0,65,24,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,797371,8,77,20,4,9,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,797371,16,69,1,0,17,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,797371,32,53,0,0,33,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,797371,64,21,0,0,65,16,11,DEEP_FOLD
TIER_B_TOP100_CRITICAL_LIKE,794655,8,53,14,4,9,18,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,794655,16,45,3,0,17,18,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,794655,32,29,0,0,33,18,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,794655,64,0,0,0,65,18,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,793255,8,101,36,4,9,32,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,793255,16,93,17,0,17,32,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,793255,32,77,1,0,33,32,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,793255,64,45,0,0,65,32,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,778235,8,55,18,4,9,22,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,778235,16,47,7,0,17,22,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,778235,32,31,0,0,33,22,11,CRITICAL_FORBIDDEN_GRAMMAR
TIER_B_TOP100_CRITICAL_LIKE,778235,64,0,0,0,65,22,11,CRITICAL_FORBIDDEN_GRAMMAR
